state,date,icubeds,totalicubeds
IL,9/18/20,1973,3360
KY,9/18/20,1070,1543
MA,9/18/20,978,1833
ME,9/18/20,187,276
MN,9/18/20,716,982
MS,9/18/20,517,565
DE,9/19/20,105,142
HI,9/19/20,122,94
IL,9/19/20,1862,3359
KY,9/19/20,1065,1521
MA,9/19/20,990,1832
ME,9/19/20,187,278
MN,9/19/20,697,976
MS,9/19/20,496,558
DE,9/20/20,99,142
HI,9/20/20,124,96
IL,9/20/20,1789,3354
KY,9/20/20,1043,1517
MA,9/20/20,904,1833
ME,9/20/20,178,278
MN,9/20/20,655,952
MS,9/20/20,503,554
DE,9/21/20,105,141
HI,9/21/20,123,93
IL,9/21/20,1775,3356
KY,9/21/20,1034,1535
MA,9/21/20,906,1833
ME,9/21/20,191,279
MN,9/21/20,670,969
MS,9/21/20,510,560
DE,9/22/20,136,160
HI,9/22/20,128,96
IL,9/22/20,1940,3357
KY,9/22/20,1061,1539
MA,9/22/20,965,1833
ME,9/22/20,201,279
MN,9/22/20,709,968
MS,9/22/20,522,574
DE,9/23/20,131,160
HI,9/23/20,128,91
IL,9/23/20,2011,3359
KY,9/23/20,1115,1539
MA,9/23/20,966,1836
ME,9/23/20,201,277
MN,9/23/20,715,979
MS,9/23/20,519,580
DE,9/24/20,133,160
HI,9/24/20,123,93
IL,9/24/20,2038,3347
KY,9/24/20,1092,1539
MA,9/24/20,986,1833
ME,9/24/20,192,266
MN,9/24/20,737,983
MS,9/24/20,517,580
DE,9/25/20,121,160
HI,9/25/20,114,94
IL,9/25/20,2018,3337
KY,9/25/20,1067,1538
MA,9/25/20,991,1833
ME,9/25/20,193,277
MN,9/25/20,720,977
MS,9/25/20,541,614
DE,9/26/20,123,161
HI,9/26/20,121,96
IL,9/26/20,1928,3336
KY,9/26/20,1063,1517
MA,9/26/20,974,1833
ME,9/26/20,188,278
MN,9/26/20,726,968
MS,9/26/20,532,604
DE,9/27/20,123,161
HI,9/27/20,118,97
IL,9/27/20,1880,3338
KY,9/27/20,1023,1517
MA,9/27/20,956,1833
ME,9/27/20,194,278
MN,9/27/20,708,982
MS,9/27/20,524,565
DE,9/28/20,130,161
HI,9/28/20,123,97
IL,9/28/20,1863,3343
KY,9/28/20,1065,1539
MA,9/28/20,958,1833
ME,9/28/20,190,278
MN,9/28/20,702,975
MS,9/28/20,517,581
DE,9/29/20,132,162
HI,9/29/20,128,98
IL,9/29/20,1998,3330
KY,9/29/20,1067,1539
MA,9/29/20,1015,1833
ME,9/29/20,205,277
MN,9/29/20,745,1006
MS,9/29/20,542,590
DE,9/30/20,133,163
HI,9/30/20,124,96
IL,9/30/20,1989,3321
KY,9/30/20,1080,1539
MA,9/30/20,1013,1833
ME,9/30/20,200,280
MN,9/30/20,733,1015
MS,9/30/20,525,579
DE,10/1/20,129,163
HI,10/1/20,112,97
IL,10/1/20,2023,3352
KY,10/1/20,1086,1539
MA,10/1/20,998,1833
ME,10/1/20,214,291
MN,10/1/20,731,1002
MS,10/1/20,521,584
DE,10/2/20,130,163
HI,10/2/20,112,184
IL,10/2/20,1963,3505
KY,10/2/20,1069,1539
MA,10/2/20,996,1835
ME,10/2/20,216,291
MN,10/2/20,719,1003
MS,10/2/20,503,572
DE,10/3/20,129,162
HI,10/3/20,107,182
IL,10/3/20,1911,3318
KY,10/3/20,1050,1538
MA,10/3/20,959,1833
ME,10/3/20,217,292
MN,10/3/20,712,1000
MS,10/3/20,492,567
DE,10/4/20,123,162
HI,10/4/20,97,179
IL,10/4/20,1841,3350
KY,10/4/20,1007,1538
MA,10/4/20,919,1833
ME,10/4/20,206,291
MN,10/4/20,660,975
MS,10/4/20,489,573
DE,10/5/20,131,162
HI,10/5/20,95,175
IL,10/5/20,1850,3351
KY,10/5/20,1027,1539
MA,10/5/20,938,1851
ME,10/5/20,191,292
MN,10/5/20,651,975
MS,10/5/20,524,574
DE,10/6/20,131,162
HI,10/6/20,101,173
IL,10/6/20,1952,3316
KY,10/6/20,1055,1539
MA,10/6/20,991,1851
ME,10/6/20,207,294
MN,10/6/20,728,1014
MS,10/6/20,542,587
DE,10/7/20,136,162
HI,10/7/20,110,178
IL,10/7/20,2050,3360
KY,10/7/20,1089,1539
MA,10/7/20,1021,1850
ME,10/7/20,196,295
MN,10/7/20,744,1017
MS,10/7/20,542,584
DE,10/8/20,138,162
HI,10/8/20,108,174
IL,10/8/20,2098,3360
KY,10/8/20,1114,1539
MA,10/8/20,1016,1851
ME,10/8/20,204,295
MN,10/8/20,754,1024
MS,10/8/20,554,586
DE,10/9/20,141,161
HI,10/9/20,104,172
IL,10/9/20,2102,3360
KY,10/9/20,1131,1539
MA,10/9/20,978,1910
ME,10/9/20,200,292
MN,10/9/20,750,1020
MS,10/9/20,540,578
DE,10/10/20,135,159
HI,10/10/20,111,174
IL,10/10/20,2027,3353
KY,10/10/20,1114,1535
MA,10/10/20,942,1909
ME,10/10/20,197,291
MN,10/10/20,727,1003
MS,10/10/20,532,570
NV,9/10/20,611,853
NV,9/11/20,629,860
NV,9/12/20,632,862
NV,9/13/20,620,857
NV,9/14/20,601,849
NV,9/15/20,622,856
NV,9/16/20,628,852
NV,9/17/20,631,858
NV,9/18/20,623,853
NV,9/19/20,609,860
NV,9/20/20,604,860
NV,9/21/20,594,861
NV,9/22/20,631,862
NV,9/23/20,643,862
NV,9/24/20,622,861
NV,9/25/20,629,874
NV,9/26/20,613,857
NV,9/27/20,602,858
NV,9/28/20,593,854
NV,9/29/20,597,855
NV,9/30/20,602,863
NV,10/1/20,618,867
NV,10/2/20,613,858
NV,10/3/20,601,852
NV,10/4/20,604,854
NV,10/5/20,602,857
NV,10/6/20,627,857
NV,10/7/20,598,858
NV,10/8/20,609,861
NV,10/9/20,608,850
NV,10/10/20,611,855
MT,9/10/20,122,166
NJ,9/10/20,1191,2159
MT,9/11/20,125,169
NJ,9/11/20,1175,2104
MT,9/12/20,122,166
NJ,9/12/20,1162,2089
MT,9/13/20,110,166
NJ,9/13/20,1121,2096
MT,9/14/20,115,168
NJ,9/14/20,1128,2101
MT,9/15/20,121,170
NJ,9/15/20,1171,2102
MT,9/16/20,124,170
NJ,9/16/20,1131,2101
MT,9/17/20,127,182
NJ,9/17/20,1177,2095
MT,9/18/20,124,181
NJ,9/18/20,1210,2084
MT,9/19/20,124,178
NJ,9/19/20,1182,2096
MT,9/20/20,120,178
NJ,9/20/20,1142,2088
MT,9/21/20,110,178
NJ,9/21/20,1161,2087
MT,9/22/20,126,180
NJ,9/22/20,1213,2083
MT,9/23/20,123,179
NJ,9/23/20,1201,2015
MT,9/24/20,127,184
NJ,9/24/20,1186,2016
MT,9/25/20,128,184
NJ,9/25/20,1222,2195
MT,9/26/20,126,182
NJ,9/26/20,1194,2187
MT,9/27/20,116,181
NJ,9/27/20,1158,2175
MT,9/28/20,124,181
NJ,9/28/20,1217,2190
MT,9/29/20,132,181
NJ,9/29/20,1307,2184
MT,9/30/20,143,183
NJ,9/30/20,1335,2182
MT,10/1/20,141,184
NJ,10/1/20,1345,2187
MT,10/2/20,131,186
NJ,10/2/20,1296,2172
MT,10/3/20,134,185
NJ,10/3/20,1258,2194
MT,10/4/20,127,186
NJ,10/4/20,1188,2164
MT,10/5/20,131,187
NJ,10/5/20,1198,2163
MT,10/6/20,145,187
NJ,10/6/20,1324,2198
MT,10/7/20,139,188
NJ,10/7/20,1321,2195
MT,10/8/20,139,188
NJ,10/8/20,1377,2273
MT,10/9/20,136,185
NJ,10/9/20,1336,2211
MT,10/10/20,127,190
NJ,10/10/20,1325,2225
NY,9/10/20,2984,5037
NY,9/11/20,2994,5045
NY,9/12/20,2912,5036
NY,9/13/20,2826,4977
NY,9/14/20,2853,5042
NY,9/15/20,2944,5038
NY,9/16/20,2972,5042
NY,9/17/20,2946,5048
NY,9/18/20,2955,5053
NY,9/19/20,2926,5051
NY,9/20/20,2832,5034
NY,9/21/20,2791,5000
NY,9/22/20,2956,4977
NY,9/23/20,3001,4976
NY,9/24/20,3035,4892
NY,9/25/20,3070,4887
NY,9/26/20,3010,4894
NY,9/27/20,2893,4894
NY,9/28/20,2886,4873
NY,9/29/20,2964,4858
NY,9/30/20,3014,4890
NY,10/1/20,3091,5077
NY,10/2/20,3069,5098
NY,10/3/20,2988,5140
NY,10/4/20,2969,5073
NY,10/5/20,2957,5136
NY,10/6/20,3089,5148
NY,10/7/20,3136,5139
NY,10/8/20,3163,5164
NY,10/9/20,3084,5136
NY,10/10/20,3047,5145
MO,9/10/20,1524,2230
